random	noun/verb	location	#1 String	#2 String
admit	V	1-2	To admit evidence in the trial of a cause	They were admitted into his house .
break	V	0-0	break a lucky streak	break into tears
see	V	3-13	How nice to see you again !	They 're blind to the damage they do , but someday they 'll see .
camp	V	4-1	The houseguests had to camp in the living room	We camped there .
conduct	V	3-1	she can not conduct modern pieces	Bernstein conducted Mahler like no other conductor
cast	N	3-2	pottery of this cast was found throughout the region	the delicate cast of his features
term	N	5-1	He was sentenced to a term of six years in prison .	The term allowed to a debtor to discharge his debt
see	V	8-2	You have to be a good observer to see all the details	Can you see the bird in that tree ?
taste	N	4-8	she enjoyed her brief taste of independence	his cold deprived him of his sense of taste
cast	V	1-0	Who cast this beautiful movie ?	cast a vote
admit	V	3-1	The French doors admit onto the yard	He admitted his errors
catch	V	8-3	I have to stop for a moment and catch my breath .	She managed to catch herself before telling her boss what was on her mind
difference	N	8-6	It just wo n't make much of a difference to anyone .	It just wo n't make much difference to me .
water	N	5-6	they were sitting by the water 's edge	he asked for a drink of water
set	V	3-0	The film is set in Africa	Set the dogs on the scent of the missing children
empathize	V	4-4	You really have to empathize with their doing it .	You really have to empathize with them .
bag	N	4-4	he ate a large bag of popcorn	he carried his small bag onto the plane with him
break	V	0-2	break a branch from a tree	The figurine broke
save	V	2-2	I 'll save you the trouble	This will save you a lot of time
difference	N	8-5	It just wo n't make much of a difference to anyone .	his support made a real difference
sow	V	2-3	As you sow , so shall you reap .	When I had sown the field , the day 's work was over .
regret	V	1-1	I regret I ca n't come to the party	I regret that I have to do this , but I do n't have a choice .
opening	N	6-1	A salamander darted out of an opening in the rocks .	the opening received good critical reviews
run	N	3-4	he has the run of the house	He can have the run of the house .
exercise	N	4-6	the doctor recommended regular exercise	The teacher told us the next exercise is to write an essay .
ulteriority	N	6-4	his stories were too susceptible to ulteriority	a terrible feeling of ulteriority
take	V	3-0	You ca n't take credit for this !	take the gun from your pocket
replace	V	3-3	the insurance will replace the lost income	We need to replace the secretary that left a month ago
be	V	2-2	I shall be writing to you soon .	The woman is walking .
refine	V	0-0	refine oil	refine paper stock
refine	V	0-0	refine paper stock	refine oil
set	V	3-0	The film is set in Africa	set up an experiment
mean	V	3-1	I did n't mean to knock your tooth out .	I mean to go to Baddeck this summer .
apparition	N	2-1	The sudden apparition of the Spaniards . – William H. Prescott .	The apparition of Lawyer Clippurse occasioned much speculation in that portion of the world . – Sir W. Scott .
figure	N	4-2	He cut a sorry figure standing there in the rain .	a heroic figure
altitude	N	2-1	As the altitude increases , the temperature gets lower , so remember to bring warm clothes to the mountains .	the altitude gave her a headache
bum	N	4-4	Fred is becoming a bum - he 's not even bothering to work more than once a month .	That mechanic 's a bum - he could n't fix a yo - yo .
wound	N	8-7	he feared that mentioning it might reopen the wound	deep in her breast lives the silent wound
carry	V	2-2	You must carry your camping gear	These pipes carry waste water into the river
head	N	1-6	the head of the list	This song keeps going through my head .
process	N	1-3	the process of calcification begins later for boys than for girls	events now in process
seat	N	1-4	The seat of a saddle	there were not enough seats for all the guests
apology	N	5-10	The CEO made a public apology for the scandal , and promised full cooperation with the authorities .	What he said really hurt my feelings , but his apology sounded so sincere that I could n't help but forgive him .
denial	N	10-5	Every time we asked for an interview we got a denial .	it resulted in a complete denial of his privileges
song	N	1-1	the song of bullets was in the air	the song of the wind
set	V	0-2	set fire to a building	The moon sets at eight o'clock tonight .
assign	V	1-2	To assign counsel for a prisoner	The teacher assigned him to lead his classmates in the exercise
pulp	V	0-0	pulp fruit	pulp wood
normalize	V	9-0	There is little hope that the two countries will normalize relations ; their governments seem to hate each other and would just as soon stay on bad terms .	normalize the temperature
hegemony	N	7-12	the consolidation of the United States ' hegemony over a new international economic system	to say they have priority is not to say they have complete hegemony
make	V	1-2	To make like a deer caught in the headlights .	He will make a splendid father !
picture	N	5-4	the author gives a depressing picture of life in Poland	he had no clear picture of himself or his world
make	V	0-0	make a mess in one 's office	make an estimate
take	V	2-0	Can you take this bag , please	take the gun from your pocket
drink	N	0-5	drink was his downfall	I asked for a hot drink
fabric	N	1-1	The fabric of our lives	The fabric of the universe
mean	V	9-9	I 'm afraid I do n't understand what you mean .	The sky is red this morning — does that mean we 're in for a storm ?
buildup	N	4-2	I envied his rapid buildup of assets	a military buildup in preparation for the invasion
respect	N	18-2	Syngman Rhee kept imprisoned the Dowager Queen Yun Empress Sunjeong of the Korean Empire for fear of the respect the people held for her .	out of respect for his privacy
take	V	2-0	I 'll take the blue plates .	take shelter from the storm
softness	N	0-10	softness is not something permitted of good leaders	orders have recently picked up after a period of extreme softness
flare	N	2-5	a colitis flare	infection can cause a lupus flare
get	V	3-1	You need to get permission to leave early .	He got a girl into trouble
undo	V	4-4	I wish I could undo my actions	Fortunately , we can undo most of the damage to the system by the war .
cover	V	0-0	cover her face with a handkerchief	cover the child with a blanket
breath	N	4-4	I could hear the breath of the runner behind me .	he took a deep breath and dived into the pool
appearance	N	4-5	David Beckham 's first appearance with the LA Galaxy at Giants Stadium against the New York Red Bulls last night drew a crowd of 66237 .	it was Bernhardt 's last appearance in America
make	V	0-0	make a phone call	make a decision
bear	V	3-2	I can not bear his constant criticism	She is bearing his child
term	N	2-2	a prison term	the general term of an algebraic equation of the n - th degree
sense	N	1-1	a sense of happiness	a sense of security
remember	V	2-1	can you remember her phone number ?	I remember the concert clearly , but I ca n't recollect why I was there .
draw	V	0-1	draw a conclusion	She drew $ 2,000 from the account
fanny	N	10-3	Her dress was so short you could nearly see her fanny	in England ` fanny ' is vulgar slang for female genitals
pay	V	2-0	Do n't pay him any mind	pay attention
hand	N	1-2	his hand was illegible	A good hand
break	V	6-2	I do n't know how to break this to you , but your cat is not coming back .	The twig broke off the branch .
lie	V	0-2	lie dormant	The book lies on the table ;    the snow lies on the roof;nbsp ; he lies in his coffin
baseball	N	2-3	he played baseball in high school	there was a baseball game on every empty lot
make	V	0-2	make a decision	We barely made the plane
understand	V	1-1	I understand what she means	I understand wanting more .
work	V	4-1	Do you want to work after the age of 60 ?	he works his parents for sympathy
serve	V	3-2	This table would serve very well	He had served in financial planning positions .
execute	V	9-6	There are certain states where it is lawful to execute prisoners convicted of certain crimes .	In some states , criminals are executed
drip	V	6-2	Listening to the tap next door drip all night drove me mad !	Water is dripping from the faucet
hold	V	2-1	I 'll hold you by your promise	She held her ears when the jackhammer started to operate
play	V	0-1	play the casinos in Trouville	Gielgud played Hamlet
meaning	N	1-3	The meaning of life	what is the meaning of this sentence
drag	N	4-3	peeling potatoes is a drag	he took a drag on his cigarette and expelled the smoke slowly
foot	N	3-3	he followed on foot	the swiftest of foot
laugh	V	4-1	Paul laughed a cheerful laugh .	Paul laughed at Mary .
